symbol	agi	ensembl_symbol	description
FIT	AT2G28160	FRU	FER-like regulator of iron uptake
NFS1	AT5G65720	NFS1	nitrogen fixation S (NIFS)-like 1
NFS2	AT1G08490	CPNIFS	chloroplastic NIFS-like cysteine desulfurase
ISU1	AT4G22220	ISU1	SufE/NifU family protein
FH	AT4G03240	FH	frataxin-like protein
NFU4	AT3G20970	NFU4	NFU domain protein 4
NFU5	AT1G51390	NFU5	NFU domain protein 5
SUFE1	AT4G26500	CPSUFE	chloroplast sulfur E
SUFS	AT1G08490	CPNIFS	chloroplastic NIFS-like cysteine desulfurase
PETC	AT4G03280	PETC	photosynthetic electron transfer C
PSAC	ATCG01060	psaC	photosystem I subunit VII
FD1	AT1G10960	FD1	ferredoxin 1
FD2	AT1G60950	FED A	2Fe-2S ferredoxin-like superfamily protein
FNR1	AT5G66190	FNR1	ferredoxin-NADP[+]-oxidoreductase 1
FNR2	AT1G20020	FNR2	ferredoxin-NADP[+]-oxidoreductase 2
PETE1	AT1G76100	PETE1	plastocyanin 1
PETE2	AT1G20340	DRT112	Cupredoxin superfamily protein
